Não-Terminal,&&,(,),*,+,,,-,.,/,:,:=,;,<,<=,<>,=,>,>=,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL,^,begin,bool,deref,do,else,end,enum,false,fi,float,id,if,in,int,new,not,null,od,procedure,program,ref,return,string,struct,then,true,var,while,||,}
TYPE,,,,,,,,,,,,,,,,,,,,,,,,bool,,,,,,,,float,id,,,int,,,,,,,ref ( TYPE ),,string,,,,,,,
RETURN_STMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return ( EXP ),,,,,,,,
BOOL_LITERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,true,,,,
VAR2',EXP3 . id VAR2_',,VAR2_',EXP3 . id VAR2_',EXP3 . id VAR2_',,EXP3 . id VAR2_',VAR2_',EXP3 . id VAR2_',,VAR2_',,EXP3 . id VAR2_',EXP3 . id VAR2_',EXP3 . id VAR2_',EXP3 . id VAR2_',EXP3 . id VAR2_',EXP3 . id VAR2_',,,,EXP3 . id VAR2_',,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXP3 . id VAR2_',
VAR2,,EXP2 . id VAR2_',,,,,,,,,,,,,,,,,EXP2 . id VAR2_',EXP2 . id VAR2_',EXP2 . id VAR2_',,,,EXP2 . id VAR2_',,,,,EXP2 . id VAR2_',,,id VAR2',,,,EXP2 . id VAR2_',EXP2 . id VAR2_',EXP2 . id VAR2_',,,,EXP2 . id VAR2_',,,,,EXP2 . id VAR2_',,,,
VAR2_',,,ε,,,,,. id VAR2_',,,ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STMT',VAR2' ASSIGN_STMT,( CALL_ARGS ),,VAR2' ASSIGN_STMT,VAR2' ASSIGN_STMT,,VAR2' ASSIGN_STMT,VAR2' ASSIGN_STMT,VAR2' ASSIGN_STMT,,VAR2' ASSIGN_STMT,,VAR2' ASSIGN_STMT,VAR2' ASSIGN_STMT,VAR2' ASSIGN_STMT,VAR2' ASSIGN_STMT,VAR2' ASSIGN_STMT,VAR2' ASSIGN_STMT,,,,VAR2' ASSIGN_STMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VAR2' ASSIGN_STMT,
POW,,VAR POW',,,,,,,,,,,,,,,,,VAR POW',VAR POW',VAR POW',,,,VAR POW',,,,,VAR POW',,,VAR POW',,,,VAR POW',,VAR POW',,,,VAR POW',,,,,VAR POW',,,,
EXP3,OR_OP3,,,OR_OP3,OR_OP3,,OR_OP3,,OR_OP3,,,,OR_OP3,OR_OP3,OR_OP3,OR_OP3,OR_OP3,OR_OP3,,,,OR_OP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OR_OP3,
VAR',ε,,ε,ε,ε,ε,ε,. id VAR',ε,,,ε,ε,ε,ε,ε,ε,ε,,,,ε,,,,ε,ε,ε,,,ε,,,,ε,,,,,ε,,,,,,,ε,,,,ε,
EXP_ARITH3,,,,TERM3,+ TERM4 EXP_ARITH4',,- TERM4 EXP_ARITH4',,TERM3,,,,,,,,,,,,,TERM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSIGN_STMT,,,,,,,,,,,:= EXP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REC_PARAMFIELD_DECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARAMFIELD_DECL REC_PARAMFIELD_DECL',,,,,,,,,,,,,,,,,,,ε
TERM3,,,,* POW4 TERM4',,,,,/ POW4 TERM4',,,,,,,,,,,,,POW3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
